OTU_ID	SNPs	SNP_OTU_beta	abs_beta	po_ne
OTU_229I Rhodocyclaceae	si:7:2994337|FLS2	0.905207	0.905207	1
OTU_8037I Comamonadaceae	si:7:13706466|GLCAT14A	0.4958066	0.4958066	1
OTU_798I Gp3	si:4:37709753|L-ascorbate oxidase 	0.2429229	0.2429229	1
OTU_127I Blastocatella	si:7:29589234|LRR-RLKs	0.5210952	0.5210952	1
OTU_22257I Amycolatopsis	si:7:19232862|Magnesium transporter	-0.2446418	0.2446418	-1
OTU_25134I Gp3	si:8:29901122|MED13	1.542623	1.542623	1
OTU_25I Gp4	si:4:2201598|Pectate lyase	1.003049	1.003049	1
OTU_28080I Gp6	si:4:2201598|Pectate lyase	1.000729	1.000729	1
OTU_24870I Gp6	si:4:2201598|Pectate lyase	0.9955611	0.9955611	1
OTU_22329I Gp6	si:4:2201598|Pectate lyase	0.9681094	0.9681094	1
OTU_25881I Bacillus	si:8:41351163|Peptidase 	0.702861	0.702861	1
OTU_25881I Bacillus	si:8:293763|PP2C	0.4060146	0.4060146	1
OTU_28080I Gp6	si:4:1236664|PPR	-0.4912798	0.4912798	-1
OTU_10146I Xanthomonadaceae	si:1:21809994|PPR	0.7539317	0.7539317	1
OTU_2653I Chitinophagaceae	si:6:496627|protein SIEL-like	-0.4276124	0.4276124	-1
OTU_17600I Gp6	si:8:35494279|RPM1	-0.302331	0.302331	-1
OTU_22329I Gp6	si:8:35494279|RPM1	-0.2807403	0.2807403	-1
OTU_22251I Micrococcaceae	si:8:35890389|RPM1	0.4479799	0.4479799	1
OTU_1735I Pseudonocardiaceae	si:8:1421639|Saccharopine dehydrogenase	0.459796	0.459796	1
OTU_34I Chitinophaga	si:5:46543670|SPT	0.3249229	0.3249229	1
OTU_472I Tepidimonas	si:1:10152960|STY46	0.3596951	0.3596951	1
OTU_19835I Bacillaceae	si:7:3045028|SUZ12	0.6337918	0.6337918	1
OTU_472I Tepidimonas	si:1:10211434|TUA	0.3538262	0.3538262	1
OTU_9567I Rhizobacter	si:4:36905760|uncharacterized protein	0.1804133	0.1804133	1
OTU_229I Rhodocyclaceae	si:9:43712410|UROD	-0.8718709	0.8718709	-1
OTU_229I Rhodocyclaceae	si:9:43826006|vicilin-like seed storage protein	-0.9033468	0.9033468	-1
OTU_24028I Gp4	si:2:5642650|WAK2	0.5387001	0.5387001	1
OTU_9000I Gp6	si:2:5642650|WAK2	0.5392405	0.5392405	1
OTU_22329I Gp6	si:2:5642650|WAK2	0.5264464	0.5264464	1
OTU_22329I Gp6	si:2:5636614|WAK2	0.4574757	0.4574757	1
OTU_79I Chitinophagaceae	si:2:5642650|WAK2	0.4814803	0.4814803	1
OTU_10146I Xanthomonadaceae	si:9:53184676|WAT1-related protein	0.7671571	0.7671571	1
OTU_25134I Gp3	si:8:5952194|WD repeat	0.7680245	0.7680245	1
OTU_8I Kitasatospora	MSPD	0.74233	0.74233	1
OTU_44I Adhaeribacter	MSPD	0.91991	0.91991	1
OTU_493I Gp3	MSPD	1.0071	1.0071	1
OTU_472I Tepidimonas	MSPD	0.4515	0.4515	1
OTU_25I Gp4	MSPD	1.46931	1.46931	1
OTU_21968I Gp6	MSPD	-0.82441	0.82441	-1
OTU_229I Rhodocyclaceae	MSPD	0.67135	0.67135	1
OTU_24028I Gp4	MSPD	-1.82571	1.82571	-1
OTU_22948I Gp7	MSPD	0.79478	0.79478	1
OTU_19835I Bacillaceae	MSPD	-1.09925	1.09925	-1
OTU_22257I Amycolatopsis	MSW	0.16875	0.16875	1
OTU_9567I Rhizobacter	MSW	-0.07779	0.07779	-1
OTU_493I Gp3	MSW	0.11242	0.11242	1
OTU_472I Tepidimonas	MSW	0.18113	0.18113	1
OTU_798I Gp3	MSW	-0.19821	0.19821	-1
OTU_9000I Gp6	MSW	0.23862	0.23862	1
OTU_17600I Gp6	MSW	-0.37567	0.37567	-1
OTU_10646I Gp6	MSW	-0.17627	0.17627	-1
OTU_24870I Gp6	MSW	-0.39359	0.39359	-1
OTU_127I Blastocatella	MSW	0.19325	0.19325	1
OTU_429I Herbaspirillum	MSW	-0.36133	0.36133	-1
OTU_28080I Gp6	MSW	-0.31764	0.31764	-1
OTU_79I Chitinophagaceae	MSW	-0.11158	0.11158	-1
OTU_11342I Comamonadaceae	TSLW	-0.0230796	0.0230796	-1
OTU_20216I Bacillus	TSLW	0.0241374	0.0241374	1
OTU_22257I Amycolatopsis	MSPW	-0.7285	0.7285	-1
OTU_192I Ohtaekwangia	MSPW	-0.4057	0.4057	-1
OTU_20216I Bacillus	MSPW	0.307	0.307	1
OTU_24323I Lechevalieria	MSPW	-1.2427	1.2427	-1
OTU_2653I Chitinophagaceae	MSPW	0.3371	0.3371	1
OTU_1735I Pseudonocardiaceae	MSPW	0.8742	0.8742	1
OTU_18308I Nitrososphaera	PGW	-0.8134	0.8134	-1
OTU_10146I Xanthomonadaceae	PGW	1.0889	1.0889	1
OTU_16754I Bacteria	PGW	0.4422	0.4422	1
OTU_342I Terribacillus	PGW	-0.3774	0.3774	-1
OTU_24323I Lechevalieria	PGW	-0.4646	0.4646	-1
OTU_25134I Gp3	PGW	0.3877	0.3877	1
OTU_25881I Bacillus	PGW	-0.3888	0.3888	-1
OTU_22329I Gp6	MSPL	1.0798	1.0798	1
OTU_8037I Comamonadaceae	MSPL	-0.3848	0.3848	-1
OTU_156I Cystobacter	MSPL	0.5308	0.5308	1
OTU_22251I Micrococcaceae	MSPL	-0.3045	0.3045	-1
OTU_34I Chitinophaga	MSPL	0.9038	0.9038	1
